time,MAC address,pi1,pi2,pi3,pi4,pi5,x,y,floor
2020-02-21 14:47:49.989066,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-150,-150,-150,-150,175,76,0
2020-02-21 14:47:53.948435,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-39,-150,-150,-150,-150,157,76,0
2020-02-21 14:47:58.054597,9142cf08f91c5992562a316772ba728369cd1713036138525ce9f700512a5114,-150,-150,-59,-150,-150,131,66,0
2020-02-21 14:48:09.949361,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-53,-150,-150,-150,-150,184,70,0
2020-02-21 14:48:01.410037,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-67,-150,-61,-150,182,92,0
2020-02-21 14:48:27.845581,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-150,-150,-150,-150,-59,210,45,0
2020-02-21 14:48:31.419269,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-77,-67,-65,-57,-150,167,71,0
2020-02-21 14:48:42.785903,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-79,-150,-150,208,46,0
2020-02-21 14:48:42.858845,8985593801ac84af2746e90c0bffbc9cddc0687f6935c843bf8ff08879128412,-150,-67,-150,-67,-55,144,57,0
2020-02-21 14:48:52.620029,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-69,-150,-150,-150,-150,190,93,0
2020-02-21 14:49:03.118699,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-75,-69,-61,-53,-37,169,62,0
2020-02-21 14:49:10.449103,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-65,189,76,0
2020-02-21 14:49:12.020406,9142cf08f91c5992562a316772ba728369cd1713036138525ce9f700512a5114,-150,-150,-59,-150,-150,134,24,0
2020-02-21 14:49:10.505896,ec5a9c96edbbcb6cb35e9b945ddaee2fee4a75551d75e77fb7aa3b4de12e2c65,-150,-57,-57,-150,-150,183,91,0
2020-02-21 14:49:14.582699,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-69,-75,-71,-67,-55,190,94,0
2020-02-21 14:49:14.996003,7a9e128aada9cbbaa35c510c90d49e135b7da7fd2c77fdbf76faa6a4f2922ff7,-150,-150,-150,-69,-63,129,97,0
2020-02-21 14:49:20.802125,0472bc8fe28e6745f8db385ef7164c62f9dfbc4dea8cf5562fcdc995189b589a,-75,-63,-65,-53,-150,108,77,0
2020-02-21 14:49:36.104341,3dd4b47e8da18b71bad7a4d8dbf495854d7937afb4097b6775f8cda0c153b649,-150,-150,-150,-57,-57,160,95,0
2020-02-21 14:49:56.517128,3130db8293f68b41419d8cb60b7d2b0964b725acdd2272b6bfbb2be25e021974,-150,-150,-150,-150,-43,161,85,0
2020-02-21 14:49:52.304120,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-67,-59,-61,-150,166,78,0
2020-02-21 14:50:06.753335,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-73,-150,-150,206,45,0
2020-02-21 14:50:16.064143,ec5a9c96edbbcb6cb35e9b945ddaee2fee4a75551d75e77fb7aa3b4de12e2c65,-75,-150,-55,-67,-150,164,54,0
2020-02-21 14:50:27.038907,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-43,-150,-150,-150,-63,210,47,0
2020-02-21 14:50:22.260846,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-65,-59,-59,-39,165,70,0
2020-02-21 14:50:34.690136,9c565bb7bde9ee1e00fa1820264c6d3f2ac6f47c845c977fd78c68442dbf4c77,-61,-150,-150,-150,-150,126,45,0
2020-02-21 14:50:34.504741,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-67,-150,-150,-150,-61,192,93,0
2020-02-21 14:50:30.313997,1dd68dabd10d18958edc7ddced471b8ffa5ab3ded2d2f52be7e5102bd79b2ec7,-150,-150,-65,-150,-150,156,57,0
2020-02-21 14:50:35.179033,ee38c5719c5213bd574110972a022a80d3fdb77d4a7d73a9b89358ff26e2147c,-150,-150,-79,-150,-150,138,44,0
2020-02-21 14:50:41.485644,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-69,-150,-67,-65,-150,190,91,0
2020-02-21 14:50:58.603545,ec5a9c96edbbcb6cb35e9b945ddaee2fee4a75551d75e77fb7aa3b4de12e2c65,-150,-150,-150,-150,-45,160,59,0
2020-02-21 14:51:03.319777,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-150,-150,-150,202,61,0
2020-02-21 14:51:15.512561,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-150,-63,-61,187,95,0
